Fecha,Precio Min. Bolsa diario,Precio Max. Bolsa diario,PPP Bolsa diario,Precio Escasez Activación,Precio Escasez Ponderado,PPP Bolsa Mes,Precio Escasez Inferior,Precio Escasez Superior,Precio Escasez
2025-01-27 00:00:00,582.5447722963,817.5447722963,738.107792,952,930.6858028657005,532.7799693273073,,,797.385728443
2025-01-28 00:00:00,560.8796149808,905.0536149808,740.825339,952,930.6858028657005,532.7799693273073,,,797.385728443
2025-01-29 00:00:00,661.0271416294,950.0271416294,765.949935,952,930.6858028657005,532.7799693273073,,,797.385728443
2025-01-30 00:00:00,559.8602548644,949.3082548644,708.45756,952,930.6858028657005,532.7799693273073,,,797.385728443
2025-01-31 00:00:00,401.0113046126,950.9113046126,644.200025,952,930.6858028657005,532.7799693273073,,,797.385728443
2025-02-01 00:00:00,524.7170216184,758.7170216184,635.022164,971,946.4682989856994,438.20513338295166,,,793.900200898
2025-02-02 00:00:00,357.3482830539,761.8482830539,499.375342,971,946.4682989856994,438.20513338295166,,,793.900200898
2025-02-03 00:00:00,576.3590484608,928.4210484608,655.339708,971,946.4682989856994,438.20513338295166,,,793.900200898
2025-02-04 00:00:00,595.3381337414,705.3381337414,678.606893,971,946.4682989856994,438.20513338295166,,,793.900200898
2025-02-05 00:00:00,636.7343661612,756.7343661612,710.98951,971,946.4682989856994,438.20513338295166,,,793.900200898
2025-02-06 00:00:00,625.6528314435,845.6528314435,740.332569,971,946.4682989856994,438.20513338295166,,,793.900200898
2025-02-07 00:00:00,372.3971532605,918.3971532605,648.831472,971,946.4682989856994,438.20513338295166,,,793.900200898
2025-02-08 00:00:00,372.3902923834,546.3902923834,492.625941,971,946.4682989856994,438.20513338295166,,,793.900200898
2025-02-09 00:00:00,520.3373765841,825.2143765841,627.9277,971,946.4682989856994,438.20513338295166,,,793.900200898
2025-02-10 00:00:00,354.846444658,725.846444658,601.263254,971,946.4682989856994,438.20513338295166,,,793.900200898
2025-02-11 00:00:00,109.9166777641,700.4036777641,427.908478,971,946.4682989856994,438.20513338295166,,,793.900200898
2025-02-12 00:00:00,111.3084915457,847.3084915457,620.880563,971,946.4682989856994,438.20513338295166,,,793.900200898
2025-02-13 00:00:00,249.207080393,846.053080393,562.25728,971,946.4682989856994,438.20513338295166,,,793.900200898
2025-02-14 00:00:00,354.696298884,505.696298884,463.369717,971,946.4682989856994,438.20513338295166,,,793.900200898
2025-02-15 00:00:00,409.3536257944,451.3536257944,440.309414,971,946.4682989856994,438.20513338295166,,,793.900200898
2025-02-16 00:00:00,115.5901849925,420.3901849925,346.617654,971,946.4682989856994,438.20513338295166,,,793.900200898
2025-02-17 00:00:00,115.2343755621,370.1323755621,312.775786,971,946.4682989856994,438.20513338295166,,,793.900200898
2025-02-18 00:00:00,114.5498166729,388.5498166729,277.275293,971,946.4682989856994,438.20513338295166,,,793.900200898
2025-02-19 00:00:00,113.1410194697,467.1410194697,236.970027,971,946.4682989856994,438.20513338295166,,,793.900200898
2025-02-20 00:00:00,202.8140027973,500.8140027973,257.868976,971,946.4682989856994,438.20513338295166,,,793.900200898
2025-02-21 00:00:00,111.9950348545,465.9950348545,213.811988,971,946.4682989856994,438.20513338295166,,,793.900200898
2025-02-22 00:00:00,156.3725768227,277.6825768227,199.256922,971,946.4682989856994,438.20513338295166,,,793.900200898
