Capacidad Útil Energía [GWh],Volumen Útil Energía [GWh],Fecha,Cero
17358.205164999996,10080.715400000001,2024-08-10 00:00:00,0
17358.205164999996,10105.957199999999,2024-08-11 00:00:00,0
17358.205164999996,10098.538900000001,2024-08-12 00:00:00,0
17358.205164999996,10120.3867,2024-08-13 00:00:00,0
17358.205164999996,10085.635700000003,2024-08-14 00:00:00,0
17358.205164999996,10018.7267,2024-08-15 00:00:00,0
17358.205164999996,9995.636999999999,2024-08-16 00:00:00,0
17358.205164999996,9970.0899,2024-08-17 00:00:00,0
17358.205164999996,9943.3579,2024-08-18 00:00:00,0
17358.205164999996,9915.9847,2024-08-19 00:00:00,0
17358.205164999996,9859.598699999999,2024-08-20 00:00:00,0
17358.205164999996,9805.1776,2024-08-21 00:00:00,0
17358.205164999996,9776.5738,2024-08-22 00:00:00,0
17358.205164999996,9794.242499999998,2024-08-23 00:00:00,0
17358.205164999996,9806.1512,2024-08-24 00:00:00,0
17358.205164999996,9840.0365,2024-08-25 00:00:00,0
17358.205164999996,9801.707800000002,2024-08-26 00:00:00,0
17358.205164999996,9737.5107,2024-08-27 00:00:00,0
17358.205164999996,9672.7754,2024-08-28 00:00:00,0
17358.205164999996,9614.0106,2024-08-29 00:00:00,0
17358.205164999996,9537.966099999998,2024-08-30 00:00:00,0
17358.205164999996,9463.1214,2024-08-31 00:00:00,0
17358.205164999996,9465.8029,2024-09-01 00:00:00,0
17358.205164999996,9445.2425,2024-09-02 00:00:00,0
17358.205164999996,9410.854299999999,2024-09-03 00:00:00,0
17358.205164999996,9376.660499999998,2024-09-04 00:00:00,0
17358.205164999996,9422.0126,2024-09-05 00:00:00,0
17358.205164999996,9359.3729,2024-09-06 00:00:00,0
17358.205164999996,9339.342899999998,2024-09-07 00:00:00,0
17358.205164999996,9292.588600000001,2024-09-08 00:00:00,0
17358.205164999996,9211.757999999998,2024-09-09 00:00:00,0
17358.205164999996,9148.8939,2024-09-10 00:00:00,0
17358.655982999997,9062.425899999998,2024-09-11 00:00:00,0
17358.655982999997,9000.9926,2024-09-12 00:00:00,0
17358.655982999997,8973.199700000001,2024-09-13 00:00:00,0
17358.655982999997,8922.1182,2024-09-14 00:00:00,0
17358.655982999997,8888.815,2024-09-15 00:00:00,0
17358.655982999997,8841.2626,2024-09-16 00:00:00,0
17358.655982999997,8845.2956,2024-09-17 00:00:00,0
17358.655982999997,8788.6573,2024-09-18 00:00:00,0
17358.655982999997,8711.466,2024-09-19 00:00:00,0
17358.655982999997,8648.489900000002,2024-09-20 00:00:00,0
17358.655982999997,8632.9042,2024-09-21 00:00:00,0
17358.655982999997,8673.295300000002,2024-09-22 00:00:00,0
17358.655982999997,8710.6004,2024-09-23 00:00:00,0
17358.655982999997,8663.488,2024-09-24 00:00:00,0
17358.655982999997,8631.802599999999,2024-09-25 00:00:00,0
17358.655982999997,8621.0954,2024-09-26 00:00:00,0
17358.655982999997,8592.4928,2024-09-27 00:00:00,0
17358.655982999997,8581.5865,2024-09-28 00:00:00,0
17358.655982999997,8665.847400000002,2024-09-29 00:00:00,0
17358.655982999997,8712.4517,2024-09-30 00:00:00,0
17358.655982999997,8740.533899999999,2024-10-01 00:00:00,0
17358.655982999997,8767.597800000001,2024-10-02 00:00:00,0
17358.655982999997,8784.6457,2024-10-03 00:00:00,0
